# HSK3のラベル: id|hanzi|tags（カンマ区切り、1語につき1つ以上）
hsk3-301|阿姨|family,people
hsk3-302|啊|particle
hsk3-303|矮|adjective
hsk3-304|爱好|hobby
hsk3-305|安静|adjective
hsk3-306|把|preposition
hsk3-307|班|school
hsk3-308|搬|verb,home
hsk3-309|办法|thinking
hsk3-310|办公室|work
hsk3-311|半|number,time
hsk3-312|帮忙|verb,people
hsk3-313|包|clothes
hsk3-314|饱|adjective,food
hsk3-315|北方|direction
hsk3-316|被|preposition
hsk3-317|鼻子|body
hsk3-318|比较|adverb,degree
hsk3-319|比赛|hobby
hsk3-320|必须|modal,adverb
hsk3-321|变化|verb
hsk3-322|表示|verb,language
hsk3-323|表演|verb,hobby
hsk3-324|别人|pronoun,people
hsk3-325|宾馆|travel
hsk3-326|冰箱|home
hsk3-327|才|adverb
hsk3-328|菜单|food
hsk3-329|参加|verb
hsk3-330|草|weather
hsk3-331|层|measure,home
hsk3-332|差|adjective
hsk3-333|长|verb
hsk3-334|超市|shopping
hsk3-335|衬衫|clothes
hsk3-336|成绩|school
hsk3-337|城市|travel
hsk3-338|迟到|verb,time
hsk3-339|出现|verb
hsk3-340|除了|preposition
hsk3-341|厨房|home
hsk3-342|春|weather,time
hsk3-343|词语|language
hsk3-344|聪明|adjective
hsk3-345|打扫|verb,daily,home
hsk3-346|打算|verb,thinking
hsk3-347|带|verb
hsk3-348|担心|verb,emotion
hsk3-349|蛋糕|food
hsk3-350|当然|adverb
hsk3-351|灯|home
hsk3-352|低|adjective
hsk3-353|地|particle
hsk3-354|地方|direction
hsk3-355|地铁|travel
hsk3-356|地图|travel
hsk3-357|电梯|home
hsk3-358|电子邮件|tech
hsk3-359|东|direction
hsk3-360|冬|weather,time
hsk3-361|动物|animal
hsk3-362|短|adjective
hsk3-363|段|measure
hsk3-364|锻炼|verb,body
hsk3-365|多么|adverb,degree
hsk3-366|饿|adjective,body
hsk3-367|而且|conjunction
hsk3-368|耳朵|body
hsk3-369|发烧|verb,body
hsk3-370|发现|verb
hsk3-371|方便|adjective
hsk3-372|放|verb
hsk3-373|放心|verb,emotion
hsk3-374|分|measure,time
hsk3-375|附近|direction,travel
hsk3-376|复习|verb,school
hsk3-377|干净|adjective
hsk3-378|敢|modal
hsk3-379|感冒|verb,body
hsk3-380|刚才|adverb,time
hsk3-381|根据|preposition
hsk3-382|跟|preposition,conjunction
hsk3-383|更|adverb,degree
hsk3-384|公园|travel
hsk3-385|故事|hobby,language
hsk3-386|刮风|verb,weather
hsk3-387|关|verb,home
hsk3-388|关系|people
hsk3-389|关心|verb,emotion
hsk3-390|关于|preposition
hsk3-391|国家|travel
hsk3-392|果汁|food
hsk3-393|过去|time
hsk3-394|害怕|verb,emotion
hsk3-395|河|weather
hsk3-396|黑板|school
hsk3-397|护照|travel
hsk3-398|花|weather,shopping
hsk3-399|花园|home,weather
hsk3-400|画|verb,hobby
hsk3-401|坏|adjective
hsk3-402|还|verb
hsk3-403|还是|conjunction
hsk3-404|环境|weather
hsk3-405|换|verb,shopping
hsk3-406|黄|adjective,color
hsk3-407|会议|work
hsk3-408|或者|conjunction
hsk3-409|机会|work,thinking
hsk3-410|极|adverb,degree
hsk3-411|几乎|adverb,degree
hsk3-412|记得|verb,thinking
hsk3-413|季节|weather,time
hsk3-414|检查|verb
hsk3-415|简单|adjective
hsk3-416|见面|verb,people
hsk3-417|健康|adjective,body
hsk3-418|讲|verb,language
hsk3-419|角|measure,shopping
hsk3-420|脚|body
hsk3-421|教|verb,school
hsk3-422|接|verb
hsk3-423|街道|travel,direction
hsk3-424|节目|tech,hobby
hsk3-425|节日|time
hsk3-426|结婚|verb,family
hsk3-427|结束|verb
hsk3-428|解决|verb,thinking
